Word,Meaning in Hindi,Example Sentence
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
important,महत्वपूर्ण,I used the word 'important' in a sentence.
apple,सेब,I used the word 'apple' in a sentence.
water,पानी,I used the word 'water' in a sentence.
family,परिवार,I used the word 'family' in a sentence.
house,घर,I used the word 'house' in a sentence.
book,किताब,I used the word 'book' in a sentence.
school,स्कूल,I used the word 'school' in a sentence.
friend,दोस्त,I used the word 'friend' in a sentence.
happy,खुश,I used the word 'happy' in a sentence.
beautiful,सुंदर,I used the word 'beautiful' in a sentence.
